n_samples,ECOD,IForest,KNN,LOF
1000,0.39565587043762207,0.11873459815979004,1.740868091583252,0.02445507049560547
5000,0.04664349555969238,0.14717364311218262,0.644665002822876,0.10226774215698242
10000,0.14337921142578125,0.2118995189666748,2.3206655979156494,0.12518525123596191
20000,0.20637035369873047,0.29477453231811523,7.764995813369751,0.48456764221191406
